Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected
February,02/11/2021,8:30 AM,02/22/2021,9:00 AM,Illinois: Scott County;,SERC,Fuel supply emergencies that could impact electric power system adequacy or reliability.,Fuel Supply Deficiency,Unknown,Unknown
February,02/11/2021,7:21 PM,02/11/2021,9:20 PM,Colorado: Morgan County;,WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0
February,02/11/2021,1:00 PM,Unknown,Unknown,Kansas:,MRO,Fuel supply emergencies that could impact electric power system adequacy or reliability.,Fuel Supply Deficiency,0,0
February,02/12/2021,9:00 PM,02/20/2021,5:15 PM,"Oregon: Clackamas County, Marion County, Polk County, Multnomah County, Washington County, Yamhill County;",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,300187
February,02/12/2021,3:30 PM,02/22/2021,7:30 AM,Texas:,TRE,Fuel supply emergencies that could impact electric power system adequacy or reliability.,Fuel Supply Deficiency,Unknown,Unknown
February,02/13/2021,9:56 AM,02/13/2021,11:01 AM,Washington: Lewis County;,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,164,37583
February,02/13/2021,1:30 PM,02/20/2021,8:00 AM,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown
February,02/13/2021,1:30 PM,02/19/2021,9:00 PM,West Virginia: Virginia:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,55097
February,02/13/2021,8:32 AM,02/14/2021,3:00 PM,South Carolina: North Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,129000
February,02/14/2021,8:30 AM,02/19/2021,6:00 PM,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,7214,Unknown
February,02/14/2021,8:30 AM,02/19/2021,6:00 PM,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown
February,02/14/2021,5:30 AM,02/18/2021,10:00 AM,Oklahoma:,MRO,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown
February,02/14/2021,8:21 PM,02/18/2021,9:30 AM,Arkansas: Louisiana: Texas: Oklahoma:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,461,125484
February,02/14/2021,8:00 PM,02/18/2021,9:28 AM,North Dakota: South Dakota: Nebraska: Kansas: Oklahoma: Texas:,MRO,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,3000,Unknown
February,02/14/2021,7:05 PM,Unknown,Unknown,Missouri: Kansas:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown
February,02/14/2021,8:32 PM,Unknown,Unknown,Nebraska: Lancaster County;,MRO,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,0,0
February,02/14/2021,6:00 PM,02/16/2021,10:00 PM,Missouri: Jasper County;,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,0,0
February,02/15/2021,1:20 AM,02/18/2021,12:42 AM,"Texas: Hidalgo County, Cameron County;",TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,Unknown,Unknown
February,02/15/2021,1:20 AM,02/18/2021,12:02 AM,Texas: Harris County;,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,4966,1390000
February,02/15/2021,4:00 PM,02/15/2021,6:34 PM,Texas: Travis County;,TRE,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
February,02/15/2021,12:00 AM,Unknown,Unknown,Texas:,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,500,Unknown
February,02/15/2021,5:36 AM,Unknown,Unknown,Texas:,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,300,Unknown
February,02/15/2021,1:00 PM,02/20/2021,10:00 AM,Texas:,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,Unknown,175000
February,02/15/2021,1:54 AM,02/17/2021,11:56 PM,Texas:,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,524,Unknown
February,02/15/2021,1:20 AM,02/19/2021,9:00 AM,Texas:,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,7214,Unknown
February,02/15/2021,3:00 PM,02/19/2021,10:00 AM,Louisiana:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown
February,02/15/2021,2:51 AM,02/19/2021,9:00 AM,Texas: Travis County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,219306
February,02/15/2021,1:54 AM,02/19/2021,9:00 AM,Texas: Travis County;,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,724,Unknown
February,02/15/2021,3:06 AM,Unknown,Unknown,Texas: Bexar County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,154000
February,02/15/2021,5:27 AM,02/18/2021,8:18 AM,Texas:,TRE,"Total generation loss, within one minute of: greater than or equal to 2,000 Megawatts in the Eastern or Western Interconnection or greater than or equal to 1,400 Megawatts in the ERCOT Interconnection.",Severe Weather,Unknown,Unknown
February,02/15/2021,1:23 AM,02/19/2021,5:30 AM,Texas:,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,Unknown,Unknown
February,02/15/2021,8:50 AM,02/18/2021,9:30 AM,Kansas:,MRO,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown
February,02/15/2021,7:00 AM,02/18/2021,9:00 AM,Oklahoma:,MRO,Fuel supply emergencies that could impact electric power system adequacy or reliability.,Fuel Supply Deficiency,0,0
February,02/15/2021,7:48 PM,02/18/2021,10:30 AM,Oklahoma: Kay County;,MRO,Fuel supply emergencies that could impact electric power system adequacy or reliability.,Fuel Supply Deficiency,0,Unknown
February,02/15/2021,10:24 AM,02/18/2021,9:52 AM,Texas: Lubbock County;,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,116,29942
February,02/15/2021,6:00 PM,02/15/2021,11:55 PM,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown
February,02/15/2021,5:40 AM,02/16/2021,1:11 PM,Texas:,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,800,Unknown
February,02/15/2021,6:45 AM,Unknown,Unknown,Texas: Arkansas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,Unknown
February,02/15/2021,5:00 AM,02/17/2021,4:00 PM,Arkansas: Pulaski County;,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown
February,02/15/2021,5:00 PM,02/15/2021,10:59 PM,Mississippi:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown
February,02/15/2021,7:52 AM,02/17/2021,2:15 PM,"Texas: Austin County, Bastrop County, Burleson County, Caldwell County, Colorado County, Fayette County, Gonzales County, Guadalupe County, Hays County, Lee County, Milam County, Travis County, Washington County, Williamson County;",TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,107,25000
February,02/15/2021,6:51 AM,02/16/2021,1:19 PM,Oklahoma:,MRO,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,350,200000
February,02/15/2021,6:00 PM,02/15/2021,11:59 PM,Louisiana:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,System Operations,Unknown,Unknown
February,02/15/2021,6:00 PM,02/15/2021,11:59 PM,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown
February,02/15/2021,2:00 PM,02/15/2021,6:00 PM,Louisiana:,SERC,Fuel supply emergencies that could impact electric power system adequacy or reliability.,Fuel Supply Deficiency,Unknown,Unknown
February,02/15/2021,1:20 AM,Unknown,Unknown,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,360,72000
February,02/15/2021,12:18 PM,02/15/2021,1:22 PM,Missouri: Kansas:,SERC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,Unknown,Unknown
February,02/15/2021,10:00 AM,Unknown,Unknown,Nebraska: Lancaster County;,MRO,Fuel supply emergencies that could impact electric power system adequacy or reliability.,Fuel Supply Deficiency,613,Unknown
February,02/15/2021,9:10 AM,Unknown,Unknown,Texas: Randall County;,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,0,0
February,02/15/2021,5:36 AM,Unknown,Unknown,Texas:,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,300,Unknown
February,02/15/2021,12:00 AM,Unknown,Unknown,Texas:,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,500,Unknown
February,02/16/2021,7:03 AM,02/20/2021,10:00 PM,Kansas: Missouri:,MRO,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,Unknown,222000
February,02/16/2021,6:19 PM,Unknown,Unknown,Arkansas:,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,Unknown,Unknown
February,02/16/2021,5:45 PM,02/16/2021,7:15 PM,Texas: Travis County;,TRE,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0
February,02/16/2021,6:48 AM,Unknown,Unknown,Louisiana:,SERC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,360,Unknown
February,02/16/2021,6:35 PM,02/17/2021,1:00 AM,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Fuel Supply Deficiency,Unknown,Unknown
February,02/16/2021,11:28 PM,Unknown,Unknown,Texas:,TRE,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0
February,02/16/2021,4:40 PM,02/20/2021,12:00 AM,Missouri:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown
February,02/16/2021,5:35 PM,02/17/2021,12:00 AM,Mississippi:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown
February,02/16/2021,7:20 AM,02/16/2021,10:02 AM,"Nebraska: Douglas County, Burt County, Washington County, Dodge County, Colfax County, Saunders County, Sarpy County, Cass County, Otoe County, Johnson County, Nemaha County, Pawnee County, Richardson County;",MRO,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,126,81100
February,02/16/2021,5:30 AM,02/16/2021,2:00 PM,Louisiana: Texas: Illinois:,SERC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,1420,Unknown
February,02/16/2021,7:43 PM,02/16/2021,9:41 PM,Louisiana: Arkansas: Texas: Mississippi:,SERC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,700,Unknown
February,02/16/2021,7:40 PM,02/17/2021,1:00 AM,Texas:,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,538,Unknown
February,02/16/2021,7:17 AM,02/16/2021,10:08 AM,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,168,840000
February,02/16/2021,6:35 PM,02/17/2021,1:00 AM,Louisiana:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,System Operations,Unknown,Unknown
February,02/16/2021,10:20 AM,02/16/2021,1:20 PM,Oregon: Multnomah County;,WECC,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0
February,02/16/2021,9:31 AM,02/16/2021,10:27 AM,Nebraska: Custer County;,MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,31,Unknown
February,02/16/2021,5:35 PM,02/17/2021,12:00 AM,Louisiana: Lafayette Parish;,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown
February,02/16/2021,6:24 AM,02/16/2021,10:41 AM,Louisiana:,SERC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,System Operations,100,18150
February,02/16/2021,1:00 AM,02/16/2021,9:28 PM,Kentucky:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,54167
February,02/16/2021,6:10 AM,Unknown,Unknown,Missouri:,SERC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather/Transmission Interruption,130,Unknown
February,02/16/2021,7:00 AM,Unknown,Unknown,New Jersey: Pennsylvania: Texas: California: Illinois: Colorado:,RF,Cyber event that could potentially impact electric power system adequacy or reliability.,Cyber Event,Unknown,0
February,02/16/2021,7:22 AM,02/16/2021,8:00 AM,"Louisiana: Allen Parish, St. Landry Parish, Evangeline Parish;",SERC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,153,Unknown
February,02/16/2021,6:48 AM,Unknown,Unknown,Louisiana: Texas:,SERC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,402,Unknown
February,02/16/2021,4:26 AM,Unknown,Unknown,Texas:,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,300,Unknown
February,02/17/2021,6:00 PM,02/17/2021,11:00 PM,Louisiana:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,System Operations,Unknown,Unknown
February,02/17/2021,6:00 PM,02/17/2021,11:00 PM,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown
February,02/17/2021,9:00 AM,02/19/2021,9:00 AM,Kansas:,MRO,Fuel supply emergencies that could impact electric power system adequacy or reliability.,Fuel Supply Deficiency,Unknown,Unknown
February,02/17/2021,5:00 PM,02/17/2021,10:00 PM,Mississippi:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown
February,02/17/2021,10:30 AM,02/17/2021,6:04 PM,North Carolina:,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0
February,02/17/2021,5:00 PM,02/17/2021,10:00 PM,Louisiana: Lafayette Parish;,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,400,67000
February,02/17/2021,6:38 AM,02/17/2021,8:37 AM,Texas: Travis County;,TRE,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
February,02/19/2021,6:48 AM,Unknown,Unknown,Louisiana: Texas:,SERC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,402,Unknown
February,02/19/2021,9:00 PM,02/20/2021,1:00 PM,Texas:,TRE,Cyber event that causes interruptions of electrical system operations.,Cyber Event,Unknown,0
February,02/19/2021,12:01 PM,02/19/2021,12:41 PM,New York: Broome County;,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
February,02/27/2021,6:02 AM,02/27/2021,9:51 AM,"Oregon: Multnomah County, Clackamas County;",WECC,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,Unknown,0
February,02/28/2021,12:42 PM,02/28/2021,1:22 PM,Texas:,TRE,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
March,03/01/2021,10:06 AM,03/09/2021,12:00 PM,New York: Greene County;,NPCC,Cyber event that could potentially impact electric power system adequacy or reliability.,Cyber Event,0,0
March,03/01/2021,10:45 PM,03/02/2021,6:35 PM,Connecticut: Massachusetts: New Hampshire: Maine: Rhode Island: Vermont:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,69260
March,03/01/2021,1:06 PM,03/01/2021,1:07 PM,Texas: Nueces County;,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
March,03/02/2021,1:03 PM,03/02/2021,1:38 PM,Kentucky:,SERC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
March,03/05/2021,2:30 PM,03/05/2021,3:00 PM,Indiana: Hamilton County;,RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
March,03/06/2021,3:21 AM,03/06/2021,4:07 AM,California: Tuolumne County;,WECC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.,Severe Weather,22,24000
March,03/08/2021,4:36 AM,03/08/2021,4:37 AM,Washington: Yakima County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
March,03/08/2021,8:54 AM,03/08/2021,8:55 AM,Oregon: Multnomah County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
March,03/11/2021,8:10 AM,03/11/2021,1:00 PM,Washington:,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
March,03/17/2021,6:27 AM,03/17/2021,8:27 AM,Pennsylvania:,RF,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,43,7381
March,03/17/2021,6:15 AM,03/18/2021,12:00 PM,"Texas: Dallas County, Tarrant County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,148000
March,03/18/2021,9:08 PM,03/19/2021,10:31 PM,Washington: Okanogan County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,4,916
March,03/19/2021,10:30 AM,03/19/2021,12:00 PM,Louisiana: Lafourche Parish;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,Unknown,4200
March,03/19/2021,7:11 PM,03/19/2021,7:59 PM,New Jersey:,RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,Unknown,Unknown
March,03/19/2021,8:59 AM,03/19/2021,10:04 AM,Maine:,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
March,03/21/2021,4:01 AM,03/22/2021,9:37 AM,Minnesota: Hennepin County;,MRO,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
March,03/29/2021,11:06 AM,Unknown,Unknown,Connecticut: Massachusetts: Maine: Vermont: Rhode Island: New Hampshire:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,70000
March,03/29/2021,10:30 AM,Unknown,Unknown,New Mexico:,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,Unknown,0
March,03/30/2021,4:18 PM,03/30/2021,8:21 PM,Texas: Hidalgo County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0
